tract_geoid,destination_id,proxy_min_minutes,proxy_max_minutes,proxy_count
13089020300,osm-node-10834410890,62.56666666666667,62.56666666666667,5
13089020300,osm-node-10834436435,38.75,48.75,5
13089020300,osm-node-11296519692,47.78333333333333,47.78333333333333,5
13089020300,osm-node-11803467005,34.1,43.31666666666667,5
13089020300,osm-node-11810428451,32.55,42.55,5
13089020300,osm-node-11874720088,48.833333333333336,48.833333333333336,5
13089020300,osm-node-12124841474,48.45,57.9,5
13089020300,osm-node-12136141359,36.13333333333333,46.13333333333333,5
13089020300,osm-node-1259091133,65.6,65.6,5
13089020300,osm-node-12619410960,38.05,48.05,5
13089020300,osm-node-12623995967,38.7,48.7,5
13089020300,osm-node-12776430676,28.266666666666666,38.266666666666666,5
13089020300,osm-node-12800526801,62.46666666666667,79.15,5
13089020300,osm-node-13019491858,39.93333333333333,49.93333333333333,5
13089020300,osm-node-13062596546,66.95,66.95,5
13089020300,osm-node-13070138146,38.25,48.25,5
13089020300,osm-node-13076662890,32.46666666666667,41.61666666666667,5
13089020300,osm-node-13132027046,30.466666666666665,40.46666666666667,5
13089020300,osm-node-13305337619,44.35,54.7,5
13089020300,osm-node-13305370788,40.45,50.45,5
13089020300,osm-node-13515490416,23.666666666666668,33.666666666666664,5
13089020300,osm-node-13599896277,47.96666666666667,58.96666666666667,5
13089020300,osm-node-14080656819,41.5,41.5,5
13089020300,osm-node-1595646778,53.583333333333336,53.583333333333336,5
13089020300,osm-node-1748936232,42.766666666666666,52.766666666666666,5
13089020300,osm-node-2277885174,38.71666666666667,48.71666666666667,5
13089020300,osm-node-358780362,54.6,54.6,5
13089020300,osm-node-358780376,64.36666666666666,64.36666666666666,5
13089020300,osm-node-367913112,29.633333333333333,38.666666666666664,5
13089020300,osm-node-367913209,72.93333333333334,84.55,5
13089020300,osm-node-367913219,38.28333333333333,48.28333333333333,5
13089020300,osm-node-367913232,73.86666666666666,73.86666666666666,5
13089020300,osm-node-367913236,49.86666666666667,54.983333333333334,5
13089020300,osm-node-367913237,49.96666666666667,64.96666666666667,5
13089020300,osm-node-367913244,62.3,70.31666666666666,5
13089020300,osm-node-367913251,43.05,43.05,5
13089020300,osm-node-367913254,55.016666666666666,55.016666666666666,5
13089020300,osm-node-367913296,44.88333333333333,54.166666666666664,5
13089020300,osm-node-367913297,54.483333333333334,71.23333333333333,5
13089020300,osm-node-367913299,18.15,30.183333333333337,5
13089020300,osm-node-367913320,53.833333333333336,83.76666666666667,5
13089020300,osm-node-4237695952,35.53333333333333,44.31666666666667,5
13089020300,osm-node-4864504354,36.93333333333333,46.93333333333333,5
13089020300,osm-node-7211662360,44.166666666666664,69.0,5
13089020300,osm-node-8113135530,31.933333333333337,41.88333333333333,5
13089020300,osm-node-871146178,27.1,37.1,5
13089020300,osm-node-8825648847,55.083333333333336,67.78333333333333,5
13089020300,osm-node-9462998941,42.06666666666667,52.06666666666667,5
13089020300,osm-relation-3612501,36.583333333333336,46.583333333333336,5
13089020300,osm-relation-3669728,65.88333333333334,76.88333333333334,5
13089020300,osm-relation-5675786,29.983333333333334,39.983333333333334,5
13089020300,osm-way-112921497,55.95,55.95,5
13089020300,osm-way-1221469441,43.96666666666667,68.81666666666666,5
13089020300,osm-way-1263059302,41.016666666666666,42.53333333333333,5
13089020300,osm-way-1311902697,36.483333333333334,46.483333333333334,5
13089020300,osm-way-173532783,32.46666666666667,42.46666666666667,5
13089020300,osm-way-208158659,44.95,54.233333333333334,5
13089020300,osm-way-219331009,38.0,49.25,5
13089020300,osm-way-231748291,67.0,67.0,5
13089020300,osm-way-234732964,39.81666666666667,49.81666666666667,5
13089020300,osm-way-234942606,35.93333333333333,45.93333333333333,5
13089020300,osm-way-252608923,28.7,38.7,5
13089020300,osm-way-268001356,69.51666666666667,70.28333333333333,5
13089020300,osm-way-269246999,72.88333333333334,84.5,5
13089020300,osm-way-269542129,49.333333333333336,59.333333333333336,5
13089020300,osm-way-269542737,62.983333333333334,62.983333333333334,5
13089020300,osm-way-269548092,67.06666666666666,67.06666666666666,5
13089020300,osm-way-269999028,39.733333333333334,48.81666666666667,5
13089020300,osm-way-270010150,61.35,61.35,5
13089020300,osm-way-270358285,38.06666666666667,48.06666666666667,5
13089020300,osm-way-270474813,38.15,48.15,5
13089020300,osm-way-270486467,37.78333333333333,47.78333333333333,5
13089020300,osm-way-270493876,24.6,34.6,5
13089020300,osm-way-270494085,22.033333333333335,32.03333333333333,5
13089020300,osm-way-270494114,27.4,37.4,5
13089020300,osm-way-270497388,31.283333333333335,41.28333333333333,5
13089020300,osm-way-270880929,26.016666666666666,36.016666666666666,5
13089020300,osm-way-272195210,44.666666666666664,50.36666666666667,5
13089020300,osm-way-272205524,67.38333333333334,67.38333333333334,5
13089020300,osm-way-273055240,57.21666666666667,57.21666666666667,5
13089020300,osm-way-275809609,62.36666666666667,70.38333333333334,5
13089020300,osm-way-343312205,64.66666666666667,68.06666666666666,5
13089020300,osm-way-348402902,35.53333333333333,44.31666666666667,5
13089020300,osm-way-34845384,61.1,81.1,5
13089020300,osm-way-366848935,79.36666666666666,79.36666666666666,5
13089020300,osm-way-388806051,62.9,62.9,5
13089020300,osm-way-40860251,57.5,57.5,5
13089020300,osm-way-40929757,70.38333333333334,81.95,5
13089020300,osm-way-41169860,55.15,55.15,5
13089020300,osm-way-494707290,65.96666666666667,76.96666666666667,5
13089020300,osm-way-494884355,55.03333333333333,55.03333333333333,5
13089020300,osm-way-494947781,31.216666666666665,41.21666666666667,5
13089020300,osm-way-51291333,28.866666666666667,38.86666666666667,5
13089020300,osm-way-51301407,27.016666666666666,37.016666666666666,5
13089020300,osm-way-51302619,54.2,54.2,5
13089020300,osm-way-51311379,39.1,51.93333333333333,5
13089020300,osm-way-61494982,55.45,55.45,5
13089020300,osm-way-692240855,42.75,56.25,5
13089020300,osm-way-886340463,36.55,46.55,5
13089020300,osm-way-933073925,62.46666666666667,79.36666666666666,5
13089020300,osm-way-98280771,58.55,58.55,5
13089020500,osm-node-10834410890,55.733333333333334,74.56666666666666,5
13089020500,osm-node-10834436435,33.75,53.75,5
13089020500,osm-node-11296519692,25.55,47.78333333333333,5
13089020500,osm-node-11803467005,24.1,43.31666666666667,5
13089020500,osm-node-11810428451,23.733333333333334,47.55,5
13089020500,osm-node-11874720088,48.833333333333336,61.583333333333336,5
13089020500,osm-node-12124841474,44.1,66.88333333333334,5
13089020500,osm-node-12136141359,30.65,50.65,5
13089020500,osm-node-1259091133,49.05,79.68333333333334,5
13089020500,osm-node-12619410960,25.5,53.05,5
13089020500,osm-node-12623995967,30.833333333333332,51.516666666666666,5
13089020500,osm-node-12776430676,23.266666666666666,43.266666666666666,5
13089020500,osm-node-12800526801,62.46666666666667,88.53333333333333,5
13089020500,osm-node-13019491858,34.93333333333333,54.93333333333333,5
13089020500,osm-node-13062596546,52.46666666666667,83.1,5
13089020500,osm-node-13070138146,33.25,53.25,5
13089020500,osm-node-13076662890,22.466666666666665,41.61666666666667,5
13089020500,osm-node-13132027046,30.466666666666665,50.46666666666667,5
13089020500,osm-node-13305337619,39.35,55.35,5
13089020500,osm-node-13305370788,35.45,55.45,5
13089020500,osm-node-13515490416,4.833333333333333,30.483333333333334,5
13089020500,osm-node-13599896277,42.96666666666667,58.96666666666667,5
13089020500,osm-node-14080656819,16.666666666666668,24.683333333333337,5
13089020500,osm-node-1595646778,53.583333333333336,53.583333333333336,5
13089020500,osm-node-1748936232,37.766666666666666,45.25,5
13089020500,osm-node-2277885174,33.71666666666667,53.71666666666667,5
13089020500,osm-node-358780362,54.6,66.6,5
13089020500,osm-node-358780376,57.53333333333333,76.36666666666666,5
13089020500,osm-node-367913112,38.666666666666664,48.666666666666664,5
13089020500,osm-node-367913209,54.55,84.55,5
13089020500,osm-node-367913219,33.28333333333333,53.28333333333333,5
13089020500,osm-node-367913232,73.86666666666666,103.05,5
13089020500,osm-node-367913236,49.86666666666667,64.28333333333333,5
13089020500,osm-node-367913237,49.96666666666667,64.96666666666667,5
13089020500,osm-node-367913244,56.31666666666667,70.31666666666666,5
13089020500,osm-node-367913251,16.516666666666666,23.45,5
13089020500,osm-node-367913254,40.016666666666666,52.18333333333333,5
13089020500,osm-node-367913296,31.9,54.166666666666664,5
13089020500,osm-node-367913297,54.483333333333334,76.21666666666667,5
13089020500,osm-node-367913299,11.666666666666666,31.733333333333334,5
13089020500,osm-node-367913320,53.833333333333336,80.61666666666666,5
13089020500,osm-node-4237695952,24.316666666666663,44.31666666666667,5
13089020500,osm-node-4864504354,36.93333333333333,56.93333333333333,5
13089020500,osm-node-7211662360,44.166666666666664,74.16666666666667,5
13089020500,osm-node-8113135530,26.933333333333337,41.88333333333333,5
13089020500,osm-node-871146178,27.1,47.1,5
13089020500,osm-node-8825648847,52.78333333333333,72.78333333333333,5
13089020500,osm-node-9462998941,37.06666666666667,57.06666666666667,5
13089020500,osm-relation-3612501,31.016666666666666,51.016666666666666,5
13089020500,osm-relation-3669728,59.06666666666667,76.88333333333334,5
