tract_geoid,destination_id,proxy_min_minutes,proxy_max_minutes,proxy_count
13089020300,osm-node-10834410890,62.56666666666667,74.56666666666666,5
13089020300,osm-node-10834436435,43.75,68.75,5
13089020300,osm-node-11296519692,47.78333333333333,57.55,5
13089020300,osm-node-11803467005,34.1,63.31666666666667,5
13089020300,osm-node-11810428451,37.55,62.55,5
13089020300,osm-node-11874720088,48.833333333333336,61.583333333333336,5
13089020300,osm-node-12124841474,57.9,83.05,5
13089020300,osm-node-12136141359,41.13333333333333,66.13333333333334,5
13089020300,osm-node-1259091133,65.6,95.6,5
13089020300,osm-node-12619410960,43.05,68.05,5
13089020300,osm-node-12623995967,43.7,68.7,5
13089020300,osm-node-12776430676,33.266666666666666,58.266666666666666,5
13089020300,osm-node-12800526801,62.46666666666667,92.46666666666668,5
13089020300,osm-node-13019491858,44.93333333333333,69.93333333333334,5
13089020300,osm-node-13062596546,66.95,96.83333333333331,5
13089020300,osm-node-13070138146,43.25,68.25,5
13089020300,osm-node-13076662890,32.46666666666667,61.61666666666667,5
13089020300,osm-node-13132027046,30.466666666666665,50.46666666666667,5
13089020300,osm-node-13305337619,47.38333333333333,73.35,5
13089020300,osm-node-13305370788,45.45,70.45,5
13089020300,osm-node-13515490416,27.2,53.666666666666664,5
13089020300,osm-node-13599896277,52.96666666666667,76.96666666666667,5
13089020300,osm-node-14080656819,41.5,61.5,5
13089020300,osm-node-1595646778,53.583333333333336,60.68333333333333,5
13089020300,osm-node-1748936232,47.766666666666666,72.76666666666667,5
13089020300,osm-node-2277885174,43.71666666666667,68.71666666666667,5
13089020300,osm-node-358780362,54.6,66.6,5
13089020300,osm-node-358780376,64.36666666666666,76.36666666666666,5
13089020300,osm-node-367913112,32.333333333333336,51.8,5
13089020300,osm-node-367913209,72.93333333333334,85.96666666666667,5
13089020300,osm-node-367913219,43.28333333333333,68.28333333333333,5
13089020300,osm-node-367913232,73.86666666666666,103.05,5
13089020300,osm-node-367913236,54.983333333333334,79.86666666666666,5
13089020300,osm-node-367913237,64.96666666666667,79.13333333333334,5
